Date,title,Keywords,Good,Bad,Intermediate
2023-07-14,"뉴욕증시, 기업 실적 호조에 상승 출발",상승,1,0,0
2023-07-15,"한국투자증권, 국내 최초 사무라이채권 발행 성공",,0,0,1
2023-07-16,"국내 금융사들, 2800억원 홍콩 빌딩 대출 손실 위기",,0,0,1
2023-07-17,"뉴욕증시, 테슬라 등 기업실적 앞두고 장초반 상승세",상승,1,0,0
2023-07-18,"뉴욕증시, 실적·소매판매 주시하며 장초반 혼조세",,0,0,1
2023-07-19,"뉴욕증시, 실적 발표 주시하며 상승 출발",상승,1,0,0
2023-07-20,"뉴욕증시, 기업 실적 소화하며 혼조세로 출발",,0,0,1
2023-07-21,"스틸 다이내믹스, 12억 달러 신용설비 신규 계약 체결",,0,0,1
2023-07-22,"줄줄이 실적 전망치 하향 조정된 SK그룹주, 무슨 일이?",,0,0,1
2023-07-23,“큰물로 가면 성공할 줄 알았는데”…코스피로 이사간 기업들 살펴보니,,0,0,1
2023-07-24,"줄리어스 베어, 상반기 주주 귀속 순이익 18% 증가…관리자산 확대",,0,0,1
2023-07-25,"뉴욕증시, FOMC·빅테크 실적 앞두고 장초반 상승세",상승,1,0,0
2023-07-26,"뉴욕증시, FOMC 결과 앞두고 장초반 혼조세",,0,0,1
2023-07-27,"뉴욕증시, 2분기 성장률 호조에 상승 출발",상승,1,0,0
2023-07-28,"뉴욕증시, 연준 선호 물가 둔화에 상승 출발",상승,1,0,0
2023-07-29,서울 아파트값 반등 강남3구가 이끈다?...“데이터는 아직 단기 반등”  [자이앤트TV],,0,0,1
2023-07-30,냉온탕 오가는 이차전지… “8월에도 변동성 주의보”,,0,0,1
2023-07-31,"뉴욕증시, 애플·아마존 실적 앞두고 장초반 소폭 상승세",상승,1,0,0
2023-08-01,"8월 맞이한 뉴욕증시, 실적·지표 주시하며 장초반 혼조세",,0,0,1
2023-08-02,"뉴욕증시,美신용등급 강등에 장초반 하락세","하락, 하락세",0,1,0
2023-08-03,"뉴욕증시, 등급강등 여파 속 애플 실적 대기...장초반 하락세","하락, 하락세",0,1,0
2023-08-04,"뉴욕증시, 빅테크 실적 소화·고용 둔화에 상승 출발",상승,1,0,0
2023-08-05,카카오 그룹주 와르르 무너지나…증권가도 ‘백기’,,0,0,1
2023-08-06,"한국은행 ""中, 하반기 내수 회복…올해 5% 내외 성장""",,0,0,1
2023-08-07,"뉴욕증시, 관망세 속에 소폭 상승 출발",상승,1,0,0
2023-08-08,"뉴욕증시, 은행주 무더기 약세에 하락 출발","하락, 약세",0,1,0
2023-08-09,"UBS, 마진 압력으로 UPS 하향 조정…목표가 185달러",,0,0,1
2023-08-10,"뉴욕증시, CPI에 안도하며 상승 출발",상승,1,0,0
2023-08-11,"뉴욕증시, 생산자물가 반등 속 혼조세로 출발",,0,0,1
2023-08-12,"뉴욕증시, 인플레 경계 속 혼조…나스닥 2주 연속 하락·엔비디아 3.62%↓",하락,0,1,0
2023-08-13,'개미' 급증에 외인 투자자 비중 15개월만에 최저,,0,0,1
2023-08-14,"뉴욕증시, 투자자들의 관망세에 혼조세로 출발",,0,0,1
2023-08-15,"뉴욕증시, 소매판매 강세·中 우려 속 하락 출발","강세, 하락",0,0,1
2023-08-16,"뉴욕증시, FOMC 의사록 앞두고 장초반 혼조세",,0,0,1
2023-08-17,"뉴욕증시, 장초반 혼조세...10년물 국채금리 4.3%대 돌파",,0,0,1
2023-08-18,"뉴욕증시, '국채금리·中 우려' 주시하며 하락 출발",하락,0,1,0
2023-08-19,美빅테크 너무 올랐는데…고점 찍고 떨어질까? [코리아 인사이트],,0,0,1
2023-08-20,중화권 증시 투자 'ELS' 손실 우려 커져,,0,0,1
2023-08-21,"뉴욕증시, 잭슨홀·엔비디아 실적 앞두고 혼조세로 출발",,0,0,1
2023-08-22,"뉴욕증시, 실적·은행주 우려에 장초반 혼조세",,0,0,1
2023-08-23,"뉴욕증시, 엔비디아 실적 앞두고 장초반 상승세",상승,1,0,0
2023-08-24,“판돈? 13조원까지 가능” HMM 인수전 ‘쩐의 전쟁’ 만들 메기 등장,,0,0,1
2023-08-25,"파월 ""인플레 너무 높아…필요하면 추가 금리인상""",,0,0,1
2023-08-26,"스페이스X, 7번째 유인우주선 발사성공…美·러 등 4명 탑승",,0,0,1
2023-08-27,"금감원 ""'특혜성 환매' 수익자 특정 검사 아니다""",,0,0,1
2023-08-28,"뉴욕증시, 물가·고용 보고서 앞두고 상승 출발",상승,1,0,0
2023-08-29,"뉴욕증시, 국채금리 하락 속에 상승 출발","상승, 하락",0,0,1
2023-08-30,"신한투자, 젠투·라임펀드 피해 고객과 사적화해 결정",,0,0,1
2023-08-31,"골드만삭스 ""세일즈포스 실적 호조 후 50% 이상 반등할 것""",,0,0,1
2023-09-01,"뉴욕증시, 고용지표 소화하며 상승 출발",상승,1,0,0
2023-09-02,로또 1등 15명…당첨금 각 17억1308만원(종합),,0,0,1
2023-09-03,[증시 풍향계] 박스권 속 `유커 테마주` 기대감,,0,0,1
2023-09-04,대출 증가 속 국내은행 2분기 BIS 자본비율 개선,,0,0,1
2023-09-05,"뉴욕증시, 中지표 부진·유가 급등에 장초반 하락세","급등, 하락, 하락세",0,0,1
2023-09-06,"뉴욕증시, 유가·인플레 우려에 장초반 하락세","하락, 하락세",0,1,0
2023-09-07,"뉴욕증시, 긴축 우려·애플 급락에 장초반 하락세","하락, 하락세, 급락",0,1,0
2023-09-08,"뉴욕증시, 주말 앞두고 상승세로 출발",상승,1,0,0
2023-09-09,"증선위, 공매도 위반 자산운용·증권사 11곳 적발",,0,0,1
2023-09-10,또 발목잡은 중국…주가 올라도 기업가치 최저라는 이 종목,,0,0,1
2023-09-11,"뉴욕증시, 이번주 CPI·소매판매 앞두고 장초반 상승세",상승,1,0,0
2023-09-12,"뉴욕증시, 애플 이벤트 앞두고 하락 출발",하락,0,1,0
2023-09-13,"뉴욕증시, 예상 웃돈 CPI 소화하며 장초반 상승세",상승,1,0,0
2023-09-14,"BMO캐피탈, 퍼스트솔라 '시작수익률 상회'로 상향...주가 39% 상승 여력",상승,1,0,0
2023-09-15,"뉴욕증시, 주말 앞두고 하락세로 출발","하락, 하락세",0,1,0
2023-09-16,"의류株, 해외 실적에 반등할까...F&F 등 재평가",,0,0,1
2023-09-17,中 헝다 '자금 저수지' 회사 CEO 체포,,0,0,1
2023-09-18,"뉴욕증시, 이번 주 FOMC 앞두고 혼조세로 출발",,0,0,1
2023-09-19,"뉴욕증시, FOMC·인스타카트 상장 주시하며 장초반 하락세","하락, 하락세",0,1,0
2023-09-20,"다올증권 2대주주, 경영 참여 선언…주식보유목적 변경",,0,0,1
2023-09-21,"뉴욕증시, 매파 Fed·국채금리 상승에 장초반 하락세","상승, 하락, 하락세",0,0,1
2023-09-22,"뉴욕증시, 최근 급락세 되돌리며 상승 출발","상승, 급락",0,0,1
2023-09-23,영업익 2조원 넘을까…삼성전자 3분기 실적 두고 낮아지는 기대치,,0,0,1
2023-09-24,"""믿을 건 60대 이상…넷플릭스에 다 뺏겨""",,0,0,1
2023-09-25,"뉴욕증시, 9월의 마지막 주 하락 출발",하락,0,1,0
2023-09-26,"뉴욕증시, 국채금리 우려 속에 하락 출발",하락,0,1,0
2023-09-27,틱톡 때리니 20% 올랐다…인니 정부 규제방안 공개,,0,0,1
2023-09-28,"뉴욕증시, 국채금리 주시 속에 혼조세로 출발",,0,0,1
2023-09-29,"뉴욕증시, 연준 선호 물가 예상치 하회에 상승 출발",상승,1,0,0
2023-09-30,3분기도 흑자 1·2위는 현대·기아차…적자 1등은 어디?,,0,0,1
2023-10-01,100만원 받으면 15만원 떼간다…세금 아끼는 배당 투자법은,,0,0,1
2023-10-02,"뉴욕증시, 셧다운 위기 해소에도 혼조세로 출발",,0,0,1
2023-10-03,"뉴욕증시, 국채금리 상승에 하락세로 출발","상승, 하락, 하락세",0,0,1
2023-10-04,"트루이스트, 태양광 관련주 선노바·선런 '중립'으로 하향",,0,0,1
2023-10-05,"뉴욕증시, 고용 보고서 앞두고 하락세로 출발","하락, 하락세",0,1,0
2023-10-06,"뉴욕증시, 고용 급증 속에 혼조세로 출발",,0,0,1
2023-10-07,도로 ‘육만전자’…3분기 실적 업고 반등 할까,,0,0,1
2023-10-08,유가 100달러 넘나…중동전쟁에 '오일쇼크' 우려,,0,0,1
2023-10-09,"뉴욕증시, 이스라엘·하마스 충돌에 하락 출발...유가 급등","급등, 하락",0,0,1
2023-10-10,"뉴욕증시, 국채금리 하락 속 상승 출발","상승, 하락",0,0,1
2023-10-11,"뉴욕증시, 국채금리 하락세에 장초반 상승...유가는 하락","상승, 하락, 하락세",0,0,1
2023-10-12,"뉴욕증시, CPI 소화하며 장초반 혼조세...국채금리는 상승",상승,1,0,0
2023-10-13,"“이만큼 부진할 줄 몰랐다”…영업익 70% 확 쪼그라든 이 종목, 무슨 일",,0,0,1
2023-10-14,각종 악재에도 애플과 엔비디아 잘 버텼다,,0,0,1
2023-10-15,110조 뚫은 ETF···폭풍성장 이어갈까 [선데이 머니카페],,0,0,1
2023-10-16,셀트리온 형제 합병 어쩌나…힘 못쓰는 주가에 ‘눈치게임’만,,0,0,1
2023-10-17,"뉴욕증시, 강한 소비에 하락 출발",하락,0,1,0
2023-10-18,"키방크, 암 홀딩스 비중확대…목표가 65달러",,0,0,1
2023-10-19,"뉴욕증시, 파월 발언 대기하며 혼조세...넷플릭스 16% 급등",급등,1,0,0
2023-10-20,"세종, 강스템바이오텍 유증 신주인수권 등 11.73% 장내매수",,0,0,1
2023-10-21,‘악재 또 악재’ 돈 묶인 개미들 ‘비명’…카카오그룹 주가 곤두박질,,0,0,1
2023-10-22,SK텔레콤마저 안통하네…요즘 회사채 시장은 “윈터 이즈 커밍”,,0,0,1
2023-10-23,"뉴욕증시, 美 10년물 금리 5% 재돌파 속 혼조 출발",,0,0,1
2023-10-24,"뉴욕증시, 기업 실적 호조에 상승 출발",상승,1,0,0
2023-10-25,"뉴욕증시, 구글 실적 부담·장기금리 상승에 하락 출발","상승, 하락",0,0,1
2023-10-26,“코인 지식이 부족해서 ”…허술한 대학가 기부코인 관리 실태 연일 국감 도마,,0,0,1
2023-10-27,"뉴욕증시, 실적·물가 소화하며 혼조세로 출발",,0,0,1
2023-10-28,이선균에 지드래곤까지…‘연예계 마약스캔’들에 출렁이는 엔터주,,0,0,1
2023-10-29,올해 국내 주식 7.7兆 사들인 ‘개미’ …수익률은 0.82%,,0,0,1
2023-10-30,"뉴욕증시, FOMC 대기하며 반등세로 출발",,0,0,1
2023-10-31,"뉴욕증시, FOMC 대기하며 하락세로 출발","하락, 하락세",0,1,0
2023-11-01,"뉴욕증시, FOMC 결과 앞두고 장초반 상승세…고용지표는 엇갈려",상승,1,0,0
2023-11-02,"뉴욕증시, 긴축 종결 기대에 장초반 1%대 상승...국채금리는 하락","상승, 하락",0,0,1
2023-11-03,"뉴욕증시, 10월 고용 둔화에 상승세로 출발",상승,1,0,0
2023-11-04,"""푸틴 사망설은 크렘린궁 자작극""...우크라 정보당국 주장",,0,0,1
2023-11-05,내년 선거용 ‘공매도 때리기’…文정부도 대선까지 금지하기도,,0,0,1
2023-11-06,"문제는 경제다 ② [더 나은 세계, SDGs]",,0,0,1
2023-11-07,“하루만에 천국→지옥 실화냐”…공매도 금지 ‘반짝효과’ 벌써 끝?,,0,0,1
2023-11-08,“빈대야 고맙다?”…살충제·벌레 기피제 판매 늘며 관련주 상승세,상승,1,0,0
2023-11-09,대세 된 분기배당…현대차보다 더 챙겨주는 ‘혜자기업’ 있다는데,,0,0,1
2023-11-10,비트코인 3차 대폭발 오나?…5000만원 돌파에 ‘이 종목들’ 급등,급등,1,0,0
2023-11-11,"“이제 오를 때가 됐는데”…길어지는 ‘엔저’ 굴하지 않은 일학개미, 왜?",,0,0,1
2023-11-12,"[스타즈IR] 동국제강, 지주사 전환 마무리 단계···신사업 진출로 성장가도",,0,0,1
2023-11-13,"'가자 주민 치료' 튀르키예 선박, 이집트 입항",,0,0,1
2023-11-14,"'Fed 매파 출신' 불러드 ""물가 다시 오를 수 있어...갈길 멀었다""",,0,0,1
2023-11-15,"美 10월 소매판매, 7개월만에 감소…소비둔화 본격화?",,0,0,1
2023-11-16,美 2주이상 실업수당 청구 2년만에 최대,,0,0,1
2023-11-17,"금감원, 증권사 6곳 공매도 예외거래 점검",,0,0,1
2023-11-18,"상장하는 순간 상폐가 확정된 종목…그래도 돈이 몰린다 [대체, 투자란]",,0,0,1
2023-11-19,안도걸 “불황일 땐 국가가 역할해야…文 재정 효과”,,0,0,1
2023-11-20,"올트먼이 옮겨간 MS, 개장 직후 1.6% 오르며 상승 곡선",상승,1,0,0
2023-11-21,미국 ‘쿠데타’에 삼전이 왜 들썩?…하루새 1000억 몰린 ‘이 상품’,,0,0,1
2023-11-22,“현금 없는 건 회사도 마찬가지네”…상장사 현금창출력 25% 뚝,,0,0,1
2023-11-23,하이엔드 주거복합 '원에디션 강남' 대출 내달 만기…차환 예정,,0,0,1
2023-11-24,'안은진을 지켜라',,0,0,1
2023-11-25,"""게거품 주식 많은데 왜 에코프로만 공격""…분노한 주주들 [박의명의 불개미 구조대]",,0,0,1
2023-11-26,"에어비앤비, 프랑스 주택난 심화에 규제 받나",,0,0,1
2023-11-27,"UBS, GE헬스케어 중립→매도 하향…목표가 66달러",,0,0,1
2023-11-28,“내년 회사채 스프레드 축소…우량등급 선호 지속”,,0,0,1
2023-11-29,"美 3분기 성장률 잠정치, 5% 넘었다...0.3%P 상향(종합)",,0,0,1
2023-11-30,"골드만삭스, GM 목표가 45달러로 상향…""수익성 유지""",,0,0,1
2023-12-01,"에코프로비엠, 삼성SDI와 44조 규모 양극재 장기공급 계약",,0,0,1
2023-12-02,왕이 中 외교부장 베트남 방문…정상회담 준비 수순?,,0,0,1
2023-12-03,"금감원 ""개인투자자, 채권 투자 시 민평금리 챙겨보세요""",,0,0,1
2023-12-04,"""4% 중후반대 리파이낸싱 성공"" ESR켄달스퀘어리츠, 물류센터 사업 '순항'",,0,0,1
2023-12-05,"에어버스, 11월 까지 623대 항공기 인도",,0,0,1
2023-12-06,'수백억 배임 혐의' 이상직 전 의원에 징역 7년 구형,,0,0,1
2023-12-07,"삼성전자, 내년엔 믿어도 되나요?…영업익 370% 늘어난다는데",,0,0,1
2023-12-08,"아르셀로미탈, 카자흐스탄 정부에 테미르타우 자산 2억8600만 달러에 매각",,0,0,1
2023-12-09,"“해외여행객 늘고 유가 떨어지고”…모처럼 웃는 항공주, 전망도 좋다",,0,0,1
2023-12-10,피자 위에 뱀과 악어가…공포의 갤러리,,0,0,1
2023-12-11,[인사] 이베스트투자증권,,0,0,1
2023-12-12,美 CPI 3.1% 상승…인플레 둔화세 지속,상승,1,0,0
2023-12-13,대어들 상장 잔혹사 내년엔 끝날까…“이 기업 성공에 달렸다”는데,,0,0,1
2023-12-14,[레이더M] 본궤도 오른 조각투자…부동산 PF는 제외,,0,0,1
2023-12-15,"씨티그룹 멕시코 소매부문, 2024년 모회사에서 분리",,0,0,1
2023-12-16,"코리아에셋투자증권, 사랑의 연탄 나눔활동",,0,0,1
2023-12-17,정영채 NH투자증권 '옵티머스 중징계' 취소소송,,0,0,1
2023-12-18,"모간스탠리, 넷플릭스 목표주가 550달러로 상향…16% 상승 가능",상승,1,0,0
2023-12-19,“배당으로 월급받자”던 서학개미 다 물렸네…이제 좀 풀린다는데,,0,0,1
2023-12-20,“불장 구경만 하는 한국주식 왜 해요”…‘투자이민’ 떠나는 개미들,,0,0,1
2023-12-21,美 3분기 성장률 확정치 4.9%…0.3%P 하향,,0,0,1
2023-12-22,금감원 '밧데리 아저씨' 압수수색,,0,0,1
2023-12-23,"[다음주 증시전망] 2023년 마지막 거래주간···NH證 ""코스피 2530~2650 전망""",,0,0,1
2023-12-24,"아이마켓코리아, 최윤범 前 삼성전자로지텍 대표 영입",,0,0,1
2023-12-25,한달새 수익률 19% 점프…‘이 상품’ 금리인하 수혜 이제 시작이라고?,,0,0,1
2023-12-26,"아메리칸 일렉트릭 파워-PNM리소시즈, 합작 투자 지분 엑서스에 매각",,0,0,1
2023-12-27,'태영건설은 시작일뿐'…내년 시장 흔들 '부동산 PF',,0,0,1
2023-12-28,"태영건설 '성수동 오피스 개발' PF대출, 내년 3월 만기",,0,0,1
2023-12-29,올해 134% 뛴 ‘이 종목’… “오히려 지금이 기회” 더 오른다는데,,0,0,1
2023-12-30,'삼성·SK하닉'과 내년 주도할 코스닥사는?,,0,0,1
2023-12-31,"세계 2위 해운업체, 홍해 운항 또 중단",,0,0,1
2024-01-01,"사우디 국부펀드, 지난해 세계 국부 펀드 지출 4분의 1차지",,0,0,1
2024-01-02,"[신년사] 이어룡 대신 회장 ""올해 자본 목표 4조…초대형증권사 도전""",,0,0,1
2024-01-03,"소프트웨어 원, SAP 및 클라우드 서비스 업체 노비스 유포리아 인수",,0,0,1
2024-01-04,작년 내내 마음 졸인 현기차 주주들…2가지 놓치면 올해도 죽쑨다는데,,0,0,1
2024-01-05,채권시장 흔든 미 고용…3월 인하 기대 꺾였다,,0,0,1
2024-01-06,주유소 기름값 13주 연속 내림세…경유 1400원대로↓,,0,0,1
2024-01-07,KEP·디케이테크인 카카오 계열사 합병,,0,0,1
2024-01-08,"유로존, 지난해 11월 소매판매 1.1% 감소",,0,0,1
2024-01-09,“올해 얼마나 지났다고”…벌써 옐로·레드카드 86개 쏟아진 코스피,,0,0,1
2024-01-10,"JP모간, 레이몬드 제임스 '비중확대'로 상향...주가 22% 상승 여력",상승,1,0,0
2024-01-11,美 12월 소비자물가 3.4% 상승 조기 금리인하 기대감 약해져,상승,1,0,0
2024-01-12,코스피 '찔끔' 오를 때 日 닛케이 '날았다'…34년來 '최고',,0,0,1
2024-01-13,한달 앞으로 다가온 2월 MSCI 발표…편입 유력 종목은,,0,0,1
2024-01-14,“왜 폭등하지?” 산 사람도 몰라…도박 뺨치는 ‘정치테마주’ 또 기승,,0,0,1
2024-01-15,"거꾸로 가는 개미, 웃을까 울까…코스피 삭풍에도 “상승장 가즈아~!”",상승,1,0,0
2024-01-16,개미는 “씁쓸하네” 외국인은 “쏠쏠하네”…투자수익률 비교하니 눈물,,0,0,1
2024-01-17,"삼전·엔비디아에 가려진 ‘꿀종목’?…월가 “지금이 바닥, 줍줍 추천”",,0,0,1
2024-01-18,"미래에셋, 美서 바이오벤처 투자 닻 올려",,0,0,1
2024-01-19,"IMM PE, '탱크터미널 운영' UTK 3000억 인수",,0,0,1
2024-01-20,"또 따따블 갈까?…뜨거운 공모주 시장, 더 뜨거운 이차전지주 등판",,0,0,1
2024-01-21,"27년 나이키와 결별한 우즈, 새 브랜드 찾았다",,0,0,1
2024-01-22,"Adnoc, 탈탄소화 예산 230억 달러로 증액",,0,0,1
2024-01-23,"토탈 에너지, 최소 9800만 달러에 Kyon 에너지 인수 합의",,0,0,1
2024-01-24,"뉴욕증시, 실적 소화하며 장초반 상승세...넷플릭스 11%↑",상승,1,0,0
2024-01-25,"뉴욕증시, 예상 웃돈 GDP에 장초반 상승세",상승,1,0,0
2024-01-26,"한국 찾은 '챗GPT의 아버지', 삼성·SK 최고경영진과 협력 모색",,0,0,1
2024-01-27,[청기홍기]'삼성바이오·HD현대일렉트릭 깜짝실적에 목표가 ↑,,0,0,1
2024-01-28,"베이조스 전처, 아마존 주식 14조원어치 팔았다..더 헤어질 결심?",,0,0,1
2024-01-29,"씨티, 아메리칸항공 중립→매수 상향...32% 상승여력",상승,1,0,0
2024-01-30,"뉴욕증시, MS 실적·FOMC 앞두고 숨 고르기",,0,0,1
2024-01-31,"바클레이즈, 버라이즌 중립으로 하향…목표가 44달러 유지",,0,0,1
2024-02-01,美 신규 실업수당 청구건수 두 달 만에 최고…예상치 상회,,0,0,1
2024-02-02,"스케처스, 4Q 어닝 미스·실망스런 가이던스에 개장 전 9%↓",,0,0,1
2024-02-03,"루이뷔통, 파리올림픽 후원 나선 이유는?",,0,0,1
2024-02-04,[마켓인]해외 부동산 부실 커지는데…대체투자 가치평가의 민낯,,0,0,1
2024-02-05,"뉴욕증시, 파월 발언·깜짝 고용에 하락…Fed 당국자 입 주목",하락,0,1,0
2024-02-06,[단독] 주주간 계약 유효기간 이견에 HMM 매각협상 결렬 가능성,,0,0,1
2024-02-07,"뉴욕증시, 기업 실적 호조에 강세…다우 0.41% ↑",강세,1,0,0
2024-02-08,“배당 잘 주는데 이걸 왜 안 샀을까”…주가 두 자릿수씩 훌쩍 뛴 우선주,,0,0,1
2024-02-09,美 S&P500 5000선 재돌파…금리 전망·실적이 변수,,0,0,1
2024-02-10,새해 국내 투자자가 가장 많이 선물한 해외주식…테슬라도 애플도 아닌 이곳,,0,0,1
2024-02-11,[글로벌 경제지표] S&P 500지수 최초 5천 넘어 마감…CPI 소매판매 지표 발표,,0,0,1
2024-02-12,"UBS, GE헬스케어 목표가 88달러…8.2% 상승 가능",상승,1,0,0
2024-02-13,증시 랠리 주도한 저평가주 열풍…‘묻지마 투자’ 하다간 낭패 본다고?,,0,0,1
2024-02-14,"뉴욕증시, 'CPI 쇼크' 회복 후 반등…실적 호조·저가 매수 유입",,0,0,1
2024-02-15,"뉴욕증시, 1월 소매판매 감소 속 혼조세…다우 0.3% ↑",,0,0,1
2024-02-16,美 10년물 국채금리 4.3%대로 상승…도매 물가 반등 여파,상승,1,0,0
2024-02-17,제1107회 로또 1등 14명…당첨금 20억,,0,0,1
2024-02-18,"EU, 애플에 7200억 과징금 철퇴…""반독점법 위반""",,0,0,1
2024-02-19,“금리인하 물 건너가니 태세전환 빠르네”…개미들 ‘이것’ 하루새 232억 사들여,,0,0,1
2024-02-20,"뉴욕증시, FOMC 회의록·엔비디아 실적 대기하며 하락",하락,0,1,0
2024-02-21,"뉴욕증시, 엔비디아 실적 공개 앞두고 하락…FOMC 회의록 주시",하락,0,1,0
2024-02-22,美 신규 실업수당 청구 한 달만 최저…노동시장 강세,강세,1,0,0
2024-02-23,오재환 DB자산운용 대표 물러난다…12년 만,,0,0,1
2024-02-24,이용우 “5월 이더리움 ETF 승인 전망…韓 뒷북 우려”,,0,0,1
2024-02-25,"美 연준, 올해 늦게쯤 금리 인하 가능성",,0,0,1
2024-02-26,삼성전자 소외에 이것도 ‘끙끙’···현대차·SK에 수익률 얼마나 뒤졌나보니,,0,0,1
2024-02-27,에스파 카리나 열애 후폭풍? SM 주가 3.47% 하락,하락,0,1,0
2024-02-28,"밸류업 압박한 이복현 ""기준 미달땐 상폐 검토""",,0,0,1
2024-02-29,퇴직금은 무조건 일시불?…세금 폭탄 안 맞으려면 ‘인출’ 전략 세워야,,0,0,1
2024-03-01,"브라질, 지난해 경제성장 2.9%",,0,0,1
2024-03-02,엔비디아 CEO가 본 AI의 미래 “5년 내 인간이 만든 모든 시험 통과”,,0,0,1
2024-03-03,고배당주·저평가주 등 선별 투자… ‘밸류업 정책’ 수혜 챙긴다 [마이머니],,0,0,1
2024-03-04,"뉴욕증시, 파월 발언·2월 고용지표 대기하며 숨 고르기",,0,0,1
2024-03-05,"뉴욕증시, 파월 발언 대기하며 관망세…AMD·애플·테슬라 ↓",,0,0,1
2024-03-06,美 2월 민간 고용 14만건 증가…시장 예상 하회,,0,0,1
2024-03-07,"워너뮤직, 프랑스 빌리브 16억5천만 유로 입찰 계획",,0,0,1
2024-03-08,미 2월 일자리 또 깜짝 증가…금리인하 확률은 뛰었다,,0,0,1
2024-03-09,"美월가 전문가 ""韓증시, 저평가 아니다""",,0,0,1
2024-03-10,"美 유권자 경제 인식 개선에도…59%는 ""바이든 경제정책 싫다""",,0,0,1
2024-03-11,1억 돌파 비트코인 불기둥 더 치솟을까…‘김치프리미엄’도 들썩,,0,0,1
2024-03-12,"뉴욕증시, 2월 CPI 소화하며 상승 출발",상승,1,0,0
2024-03-13,"뉴욕증시, 기술주 약세 속에 혼조세로 출발",약세,0,1,0
2024-03-14,"뉴욕증시, 2월 美 PPI 예상치 상회에 약보합…국채금리 상승",상승,1,0,0
2024-03-15,"뉴욕증시, 인플레 우려·엔비디아 정체에 하락 출발",하락,0,1,0
2024-03-16,일본 미국 영국도 줄줄이 결정한다는 ‘이것’…국내 증시도 초긴장,,0,0,1
2024-03-17,“찔끔찔끔 받다 숨 넘어가겠다”…10명 중 9명 퇴직연금 한번에 받는다는데 왜?,,0,0,1
2024-03-18,"골드만삭스 ""이민 유입 증가로 올해 美 GDP 성장률 0.3%P 상향""",,0,0,1
2024-03-19,"뉴욕증시, FOMC 회의 앞두고 혼조세로 출발",,0,0,1
2024-03-20,"뉴욕증시, FOMC 결과 앞두고 소폭 상승 출발",상승,1,0,0
